Stop_Signs
STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
EL CAMINO DEL MAR,27TH AVE,SW,EB,0,27670000,EL CAMINO DEL MAR & 27TH AVE,,,,,,,POINT (-122.48741 37.787506),1,1,8,6,33
EL CAMINO DEL MAR,32ND AVE,SW,EB,0,28036000,EL CAMINO DEL MAR & 32ND AVE,,,,,,,POINT (-122.4931 37.786575),1,1,8,6,33
EL CAMINO DEL MAR,26TH AVE,SW,EB,0,27668000,EL CAMINO DEL MAR & 26TH AVE,,,,,,,POINT (-122.48634 37.787556),1,1,8,6,33
26TH AVE,EL CAMINO DEL MAR,NW,SB,0,27668000,26TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48634 37.787556),1,1,8,6,33
29TH AVE,LAKE,NW,SB,0,28021000,29TH AVE & LAKE,,,,,,,POINT (-122.48938 37.785084),1,1,8,6,33
28TH AVE,EL CAMINO DEL MAR,SE,NB,0,28032000,28TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48841 37.787613),1,1,8,6,33
MCLAREN,28TH AVE,SW,EB,,28031000,MCLAREN AVE & 28TH AVE,20190205000000,,190205-010,I,19-7240,20190419000000,POINT (-122.48837 37.78624),1,1,8,6,33
EL CAMINO DEL MAR,SEA CLIFF,NE,WB,0,28034000,EL CAMINO DEL MAR & SEA CLIFF,,,,,,,POINT (-122.48951 37.78823),1,1,8,6,33
27TH AVE,EL CAMINO DEL MAR,SE,NB,0,27670000,27TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48741 37.787506),1,1,8,6,33
SEA CLIFF,26TH AVE,SW,EB,0,27671000,SEA CLIFF & 26TH AVE,,,,,,,POINT (-122.48701 37.788765),1,1,8,6,33
EL CAMINO DEL MAR,25TH AVE,SW,EB,0,27662000,EL CAMINO DEL MAR & 25TH AVE,,,,,,,POINT (-122.48527 37.787605),1,1,8,6,33
EL CAMINO DEL MAR,30TH AVE,SW,EB,0,28027000,EL CAMINO DEL MAR & 30TH AVE,,,,,,,POINT (-122.49055 37.786278),1,1,8,6,33
SEA CLIFF,25TH AVE,,EB,,27664000,,,,,,,,POINT (-122.48519 37.78893),1,1,8,6,33
SEA CLIFF,EL CAMINO DEL MAR,NW,SB,0,28034000,SEA CLIFF & EL CAMINO DEL MAR,,,,,,,POINT (-122.48951 37.78823),1,1,8,6,33
LAKE ST,30TH AVE,NE,WB,0,28026000,LAKE ST & 30TH AVE,,,,,,,POINT (-122.49046 37.785114),1,1,8,6,33
SCENIC,26TH AVE,NE,WB,0,27669000,SCENIC & 26TH AVE,,,,,,,POINT (-122.4864 37.788292),1,1,8,6,33
26TH AVE,EL CAMINO DEL MAR,SE,NB,0,27668000,26TH AVE & EL CAMINO DEL MAR,,,,,,,POINT (-122.48634 37.787556),1,1,8,6,33
LAKE ST,28TH AVE,SW,EB,0,28019000,LAKE ST & 28TH AVE,,,,,,,POINT (-122.48831 37.785202),1,1,8,6,33
25TH AVE,SEA CLIFF,NW,SB,0,27664000,25TH AVE & SEA CLIFF,,,,,,,POINT (-122.48524 37.788925),1,1,8,6,33
26TH AVE,SEA CLIFF,,NB,,27671000,,,,,,,,POINT (-122.48701 37.788765),1,1,8,6,33
28TH AVE,LAKE,SE,NB,,28020000,28TH AVE & LAKE ST,,,,,,,POINT (-122.48813 37.785606),1,1,8,6,33
EL CAMINO DEL MAR,SEACLIFF,,SB,,28034000,EL CAMINO DEL MAR & SEACLIFF,,,,,,,POINT (-122.48951 37.78823),1,1,8,6,33
25TH AVE,SCENIC,SE,NB,0,27663000,25TH AVE & SCENIC,,,,,,,POINT (-122.48532 37.78833),1,1,8,6,33
EL CAMINO DEL MAR,30TH AVE,NE,WB,0,28027000,EL CAMINO DEL MAR & 30TH AVE,,,,,,,POINT (-122.49055 37.786278),1,1,8,6,33
SCENIC,25TH AVE,SW,EB,0,27663000,SCENIC & 25TH AVE,,,,,,,POINT (-122.48532 37.78833),1,1,8,6,33
18TH AVE,LAKE,NW,SB,0,27634000,18TH AVE & LAKE,,,,,,,POINT (-122.47763 37.786076),2,2,8,4,29
16TH AVE,LAKE,SE,NB,0,27626000,16TH AVE & LAKE,,,,,,,POINT (-122.475494 37.786175),2,2,8,4,29
24TH AVE,LAKE,NW,SB,20N,27654000,24TH AVE & LAKE,,,,,,,POINT (-122.48407 37.78579),2,2,8,4,29
LAKE ST,19TH AVE,SW,EB,0,27637000,LAKE ST & 19TH AVE,,,,,,,POINT (-122.4787 37.786026),2,2,8,4,29
19TH AVE,LAKE,SE,NB,0,27637000,19TH AVE & LAKE,,,,,,,POINT (-122.4787 37.786026),2,2,8,4,29
LAKE ST,15TH AVE,NE,WB,0,27625000,LAKE ST & 15TH AVE,,,,,,,POINT (-122.47437 37.786232),2,2,8,4,29
22ND AVE,LAKE,NW,SB,0,27646000,22ND AVE & LAKE ST,,,,,,,POINT (-122.48192 37.78588),2,2,8,4,29
LAKE ST,22ND AVE,SW,EB,0,27646000,LAKE ST & 22ND AVE,,,,,,,POINT (-122.48192 37.78588),2,2,8,4,29
LAKE ST,22ND AVE,NE,WB,0,27646000,LAKE ST & 22ND AVE,,,,,,,POINT (-122.48192 37.78588),2,2,8,4,29
22ND AVE,LAKE,SE,NB,0,27646000,22ND AVE & LAKE ST,,,,,,,POINT (-122.48192 37.78588),2,2,8,4,29
26TH AVE,LAKE,NW,SB,0,27658000,26TH AVE & LAKE,,,,,,,POINT (-122.48621 37.78569),2,2,8,4,29
LAKE ST,19TH AVE,NE,WB,0,27637000,LAKE ST & 19TH AVE,,,,,,,POINT (-122.4787 37.786026),2,2,8,4,29
24TH AVE,LAKE,SE,NB,0,27654000,24TH AVE & LAKE,,,,,,,POINT (-122.48407 37.78579),2,2,8,4,29
18TH AVE,LAKE,SE,NB,0,27634000,18TH AVE & LAKE,,,,,,,POINT (-122.47763 37.786076),2,2,8,4,29
20TH AVE,LAKE,SE,NB,0,27638000,20TH AVE & LAKE,,,,,,,POINT (-122.479774 37.785976),2,2,8,4,29
27TH AVE,LAKE,NW,SB,,27659000,27TH AVE & LAKE,,,,,,,POINT (-122.487274 37.785645),2,2,8,6,29
LAKE ST,15TH AVE,SW,EB,0,27625000,LAKE ST & 15TH AVE,,,,,,,POINT (-122.47437 37.786232),2,2,8,4,29
14TH AVE,LAKE,NW,SB,0,27622000,14TH AVE & LAKE,,,,,,,POINT (-122.47324 37.78628),2,2,8,4,29
27TH AVE,LAKE,SE,NB,,27659000,27TH AVE & LAKE,,,,,,,POINT (-122.487274 37.785645),2,2,8,6,29
26TH AVE,LAKE,SE,NB,0,27658000,26TH AVE & LAKE,,,,,,,POINT (-122.48621 37.78569),2,2,8,4,29
19TH AVE,LAKE,NW,SB,0,27637000,19TH AVE & LAKE,,,,,,,POINT (-122.4787 37.786026),2,2,8,4,29
16TH AVE,LAKE,NW,SB,0,27626000,16TH AVE & LAKE,,,,,,,POINT (-122.475494 37.786175),2,2,8,4,29
21ST AVE,LAKE,NW,SB,0,27645000,21ST AVE & LAKE,,,,,,,POINT (-122.48085 37.78593),2,2,8,4,29
14TH AVE,LAKE,SE,NB,0,27622000,14TH AVE & LAKE,,,,,,,POINT (-122.47324 37.78628),2,2,8,4,29
17TH AVE,LAKE,SE,NB,0,27633000,17TH AVE & LAKE,,,,,,,POINT (-122.47656 37.786125),2,2,8,4,29
15TH AVE,LAKE,NW,SB,0,27625000,15TH AVE & LAKE,,,,,,,POINT (-122.47437 37.786232),2,2,8,4,29
15TH AVE,LAKE,SE,NB,0,27625000,15TH AVE & LAKE,,,,,,,POINT (-122.47437 37.786232),2,2,8,4,29
17TH AVE,LAKE,NW,SB,0,27633000,17TH AVE & LAKE,,,,,,,POINT (-122.47656 37.786125),2,2,8,4,29
21ST AVE,LAKE,SE,NB,0,27645000,21ST AVE & LAKE,,,,,,,POINT (-122.48085 37.78593),2,2,8,4,29
23RD AVE,LAKE,SE,NB,0,27649000,23RD AVE & LAKE,,,,,,,POINT (-122.482994 37.78583),2,2,8,4,29
20TH AVE,LAKE,NW,SB,20N,27638000,20TH AVE & LAKE,,,,,,,POINT (-122.479774 37.785976),2,2,8,4,29
06TH AVE,LAKE,NW,SB,0,27598000,06TH AVE & LAKE,,,,,,,POINT (-122.46468 37.786667),4,4,8,6,11
05TH AVE,LAKE,SE,NB,0,27595000,05TH AVE & LAKE,,,,,,,POINT (-122.46361 37.786716),4,4,8,6,11
LAKE ST,09TH AVE,SW,EB,0,27608000,LAKE ST & 09TH AVE,,,,,,,POINT (-122.46789 37.78653),4,4,8,4,11
LAKE ST,06TH AVE,NE,WB,0,27598000,LAKE ST & 06TH AVE,,,,,,,POINT (-122.46468 37.786667),4,4,8,6,11
02ND AVE,LAKE,NW,SB,0,27579000,02ND AVE & LAKE,,,,,,,POINT (-122.46039 37.78686),4,4,8,6,11
LAKE ST,04TH AVE,NE,WB,0,27588000,LAKE ST & 04TH AVE,,,,,,,POINT (-122.46253 37.786762),4,4,8,6,11
07TH AVE,LAKE,SE,NB,0,27600000,07TH AVE & LAKE,,,,,,,POINT (-122.465744 37.78662),4,4,8,4,11
11TH AVE,LAKE,NW,SB,0,27612000,11TH AVE & LAKE ST,,,,,,,POINT (-122.47003 37.78643),4,4,8,4,11
LAKE ST,02ND AVE,NE,WB,,27579000,LAKE ST & 02ND AVE,,,,,,,POINT (-122.46039 37.78686),4,4,8,6,11
02ND AVE,LAKE,SE,NB,0,27579000,02ND AVE & LAKE,,,,,,,POINT (-122.46039 37.78686),4,4,8,6,11
10TH AVE,LAKE,NW,SB,0,27609000,10TH AVE & LAKE,,,,,,,POINT (-122.46896 37.786476),4,4,8,4,11
09TH AVE,LAKE,NW,SB,0,27608000,09TH AVE & LAKE,,,,,,,POINT (-122.46789 37.78653),4,4,8,4,11
11TH AVE,LAKE,SE,NB,0,27612000,11TH AVE & LAKE ST,,,,,,,POINT (-122.47003 37.78643),4,4,8,4,11
03RD AVE,LAKE,SE,NB,0,27584000,03RD AVE & LAKE,,,,,,,POINT (-122.46146 37.78681),4,4,8,6,11
10TH AVE,LAKE,SE,NB,0,27609000,10TH AVE & LAKE,,,,,,,POINT (-122.46896 37.786476),4,4,8,4,11
08TH AVE,LAKE,NW,SB,0,27601000,08TH AVE & LAKE,,,,,,,POINT (-122.46682 37.786564),4,4,8,4,11
07TH AVE,LAKE,NW,SB,0,27600000,07TH AVE & LAKE,,,,,,,POINT (-122.465744 37.78662),4,4,8,4,11
04TH AVE,LAKE,SE,NB,0,27588000,04TH AVE & LAKE,,,,,,,POINT (-122.46253 37.786762),4,4,8,6,11
05TH AVE,LAKE,NW,SB,0,27595000,05TH AVE & LAKE,,,,,,,POINT (-122.46361 37.786716),4,4,8,6,11
LAKE ST,06TH AVE,SW,EB,0,27598000,LAKE ST & 06TH AVE,,,,,,,POINT (-122.46468 37.786667),4,4,8,6,11
LAKE ST,02ND AVE,SW,EB,,27579000,LAKE ST & 02ND AVE,,,,,,,POINT (-122.46039 37.78686),4,4,8,6,11
06TH AVE,LAKE,SE,NB,0,27598000,06TH AVE & LAKE,,,,,,,POINT (-122.46468 37.786667),4,4,8,6,11
LAKE ST,09TH AVE,NE,WB,0,27608000,LAKE ST & 09TH AVE,,,,,,,POINT (-122.46789 37.78653),4,4,8,4,11
08TH AVE,LAKE,SE,NB,0,27601000,08TH AVE & LAKE,,,,,,,POINT (-122.46682 37.786564),4,4,8,4,11
04TH AVE,LAKE,SW,EB,,27588000,04TH AVE & LAKE ST,,,,I,,,POINT (-122.46253 37.786762),4,4,8,6,11
09TH AVE,LAKE,SE,NB,0,27608000,09TH AVE & LAKE,,,,,,,POINT (-122.46789 37.78653),4,4,8,4,11
04TH AVE,BALBOA,SE,NB,0,27241000,04TH AVE & BALBOA,,,,,,,POINT (-122.46185 37.77733),5,5,8,4,11
16TH AVE,CLEMENT,NW,SB,0,27491000,16TH AVE & CLEMENT,,,,,,,POINT (-122.47522 37.78245),5,5,8,4,29
CORNWALL,04TH AVE,NW,EB,,27585000,CORNWALL & 04TH AVE,,,,,,,POINT (-122.4624 37.7849),5,5,8,4,11
ANZA,17TH AVE,NE,WB,,27494000,ANZA ST & 17TH AVE,,,,,,,POINT (-122.47601 37.77855),5,5,8,4,29
03RD AVE,CALIFORNIA,NW,SB,0,27583000,03RD AVE & CALIFORNIA,,,,,,,POINT (-122.46136 37.785397),5,5,8,4,11
CABRILLO,06TH AVE,NE,WB,0,27270000,CABRILLO ST & 06TH AVE,,,,I,,,POINT (-122.46386 37.775364),5,5,8,4,11
CLEMENT,15TH AVE,,SB,,27489000,CLEMENT ST & 15TH AVE,,,,,,,POINT (-122.4741 37.782505),5,5,8,4,29
ANZA,02ND AVE,SW,EB,,27226000,ANZA ST & 02ND AVE,20150303000000,,15-022,I,,,POINT (-122.45985 37.779278),5,5,8,4,11
CABRILLO,15TH AVE,SW,EB,0,27450000,CABRILLO ST & 15TH AVE,,,,I,,,POINT (-122.47355 37.77492),5,5,8,4,29
BALBOA,12TH AVE,SW,EB,,27297000,BALBOA ST & 12TH AVE,,,,,,,POINT (-122.47042 37.776936),5,5,8,4,11
06TH AVE,CABRILLO,NW,SB,0,27270000,06TH AVE & CABRILLO,,,,,,,POINT (-122.46386 37.775364),5,5,8,4,11
12TH AVE,ANZA,NW,SB,0,27299000,12TH AVE & ANZA,,,,,,,POINT (-122.47056 37.778797),5,5,8,4,11
FUNSTON,ANZA,NW,SB,0,27300000,FUNSTON & ANZA,,,,,,,POINT (-122.47163 37.778748),5,5,8,4,11
04TH AVE,CLEMENT,NW,SB,0,27250000,04TH AVE & CLEMENT,,,,,,,POINT (-122.462265 37.783035),5,5,8,4,11
BALBOA,15TH AVE,NE,WB,0,27474000,BALBOA ST & 15TH AVE,,,,,,,POINT (-122.47369 37.776787),5,5,8,4,29
BALBOA,11TH AVE,NE,WB,,27294000,BALBOA ST & 11TH AVE,,,,,,,POINT (-122.469345 37.776985),5,5,8,4,11
CABRILLO,12TH AVE,NE,WB,,27267000,CABRILLO ST & 12TH AVE,,,,I,,,POINT (-122.47028 37.77507),5,5,8,4,11
19TH AVE,CABRILLO,SE,NB,0,27469000,19TH AVE & CABRILLO,,,,,,,POINT (-122.47789 37.774727),5,5,8,4,29
ANZA,06TH AVE,SW,EB,0,27275000,ANZA ST & 06TH AVE,,,,,,,POINT (-122.464134 37.779087),5,5,8,4,11
FUNSTON,GEARY,NW,SB,0,27481000,FUNSTON & GEARY,,,,,,,POINT (-122.47176 37.780678),5,5,8,4,11
19TH AVE,BALBOA,NW,SB,0,27496000,19TH AVE & BALBOA,,,,,,,POINT (-122.47802 37.77659),5,5,8,4,29
07TH AVE,ANZA,NW,SB,0,27276000,07TH AVE & ANZA,,,,,,,POINT (-122.465195 37.779037),5,5,8,4,11
ANZA,19TH AVE,NE,WB,0,27498000,ANZA ST & 19TH AVE,,,,,,,POINT (-122.47815 37.778454),5,5,8,4,29
CABRILLO,11TH AVE,NE,WB,,27264000,CABRILLO ST & 11TH AVE,,,,I,,,POINT (-122.469215 37.77512),5,5,8,4,11
CABRILLO,07TH AVE,SW,EB,0,27273000,CABRILLO ST & 07TH AVE,,,,I,,,POINT (-122.46493 37.775314),5,5,8,4,11
ANZA,11TH AVE,SW,EB,,27296000,ANZA ST & 11TH AVE,,,,,,,POINT (-122.46948 37.778843),5,5,8,4,11
09TH AVE,CALIFORNIA,SE,NB,0,27606000,09TH AVE & CALIFORNIA,,,,,,,POINT (-122.46775 37.784664),5,5,8,4,11
18TH AVE,CLEMENT,NW,SB,0,27503000,18TH AVE & CLEMENT,,,,,,,POINT (-122.47736 37.782356),5,5,8,4,29
08TH AVE,CABRILLO,NW,SB,0,27277000,08TH AVE & CABRILLO,,,,,,,POINT (-122.466 37.775265),5,5,8,4,11
18TH AVE,CABRILLO,NW,SB,0,27463000,18TH AVE & CABRILLO,,,,,,,POINT (-122.476814 37.774773),5,5,8,4,29
CLEMENT,19TH AVE,SW,EB,0,27506000,CLEMENT ST & 19TH AVE,,,,,,,POINT (-122.47843 37.782303),5,5,8,4,29
14TH AVE,CALIFORNIA,NW,SB,0,27621000,14TH AVE & CALIFORNIA,,,,,,,POINT (-122.47311 37.784416),5,5,8,4,29
ANZA,03RD AVE,SW,EB,0,27236000,ANZA ST & 03RD AVE,,,,,,,POINT (-122.460915 37.77923),5,5,8,4,11
12TH AVE,CLEMENT,NW,SB,0,27306000,12TH AVE & CLEMENT,,,,,,,POINT (-122.47083 37.782646),5,5,8,4,11
09TH AVE,CABRILLO,NW,SB,0,27280000,09TH AVE & CABRILLO ST,,,,I,,,POINT (-122.46707 37.77522),5,5,8,4,11
CABRILLO,19TH AVE,NE,WB,0,27469000,CABRILLO ST & 19TH AVE,,,,I,,,POINT (-122.47789 37.774727),5,5,8,4,29
04TH AVE,CABRILLO,NE,WB,0,27238000,04TH AVE & CABRILLO ST,,,,I,,,POINT (-122.46172 37.775463),5,5,8,4,11
02ND AVE,CABRILLO,NW,SB,0,27212000,02ND AVE & CABRILLO,,,,,,,POINT (-122.45957 37.775562),5,5,8,4,11
10TH AVE,CABRILLO,NW,SB,0,27292000,10TH AVE & CABRILLO,,,,,,,POINT (-122.46815 37.77517),5,5,8,4,11
15TH AVE,CALIFORNIA,NW,SB,0,27623000,15TH AVE & CALIFORNIA,,,,,,,POINT (-122.474236 37.784367),5,5,8,4,29
04TH AVE,BALBOA,NW,SB,0,27241000,04TH AVE & BALBOA,,,,,,,POINT (-122.46185 37.77733),5,5,8,4,11
CABRILLO,09TH AVE,SW,EB,,27280000,CABRILLO ST & 09TH AVE,,,,I,19-7628,20191009000000,POINT (-122.46707 37.77522),5,5,8,4,11
LAKE ST,12TH AVE,SW,EB,0,27613000,LAKE ST & 12TH AVE,,,,,,,POINT (-122.4711 37.78638),5,5,8,4,11
ANZA,09TH AVE,SW,EB,,27283000,ANZA ST & 09TH AVE,,,,,,,POINT (-122.46734 37.778942),5,5,8,4,11
CORNWALL,02ND AVE,SW,EB,0,27565000,CORNWALL & 02ND AVE,,,,,,,POINT (-122.46026 37.785),5,5,8,4,11
09TH AVE,BALBOA,NW,SB,0,27281000,09TH AVE & BALBOA,,,,,,,POINT (-122.46721 37.777084),5,5,8,4,11
BALBOA,09TH AVE,NE,WB,,27281000,BALBOA ST & 09TH AVE,,,,,,,POINT (-122.46721 37.777084),5,5,8,4,11
CABRILLO,16TH AVE,SW,EB,0,27454000,CABRILLO ST & 16TH AVE,,,,I,,,POINT (-122.47467 37.77487),5,5,8,4,29
BALBOA,11TH AVE,SW,EB,,27294000,BALBOA ST & 11TH AVE,,,,,,,POINT (-122.469345 37.776985),5,5,8,4,11
ANZA,16TH AVE,NE,WB,0,27479000,ANZA ST & 16TH AVE,,,,,,,POINT (-122.474945 37.7786),5,5,8,4,29
11TH AVE,ANZA,SE,NB,0,27296000,11TH AVE & ANZA ST,,,,,,,POINT (-122.46948 37.778843),5,5,8,4,11
14TH AVE,ANZA,SE,NB,0,27476000,14TH AVE & ANZA,,,,,,,POINT (-122.472694 37.778698),5,5,8,4,29
FUNSTON,CALIFORNIA,SE,NB,0,27619000,FUNSTON & CALIFORNIA,,,,,,,POINT (-122.47204 37.78447),5,5,8,4,11
19TH AVE,BALBOA,SE,NB,0,27496000,19TH AVE & BALBOA,,,,,,,POINT (-122.47802 37.77659),5,5,8,4,29
15TH AVE,CABRILLO,NW,SB,,27450000,15TH AVE & CABRILLO,,,,,,,POINT (-122.47355 37.77492),5,5,8,4,29
07TH AVE,BALBOA,NW,SB,0,27274000,07TH AVE & BALBOA,,,,,,,POINT (-122.46506 37.77718),5,5,8,4,11
04TH AVE,CLEMENT,SE,NB,0,27250000,04TH AVE & CLEMENT,,,,,,,POINT (-122.462265 37.783035),5,5,8,4,11
09TH AVE,CLEMENT,NW,SB,0,27291000,09TH AVE & CLEMENT,,,,,,,POINT (-122.46761 37.7828),5,5,8,4,11
BALBOA,10TH AVE,SW,EB,0,27293000,BALBOA ST & 10TH AVE,,,,,,,POINT (-122.46828 37.777035),5,5,8,4,11
CABRILLO,05TH AVE,SW,EB,,27240000,CABRILLO ST & 05TH AVE,,,,I,,,POINT (-122.46279 37.775414),5,5,8,4,11
FUNSTON,GEARY,SE,NB,0,27481000,FUNSTON & GEARY,,,,,,,POINT (-122.47176 37.780678),5,5,8,4,11
BALBOA,17TH AVE,SW,EB,0,27492000,BALBOA ST & 17TH AVE,,,,,,,POINT (-122.475876 37.776688),5,5,8,4,29
19TH AVE,CLEMENT,SE,NB,0,27506000,19TH AVE & CLEMENT,,,,,,,POINT (-122.47843 37.782303),5,5,8,4,29
07TH AVE,CALIFORNIA,SE,NB,0,27593000,07TH AVE & CALIFORNIA,,,,,,,POINT (-122.46562 37.784847),5,5,8,4,11
ANZA,16TH AVE,SW,EB,0,27479000,ANZA ST & 16TH AVE,,,,,,,POINT (-122.474945 37.7786),5,5,8,4,29
14TH AVE,ANZA,NW,SB,0,27476000,14TH AVE & ANZA,,,,,,,POINT (-122.472694 37.778698),5,5,8,4,29
ANZA,07TH AVE,NE,WB,,27276000,ANZA ST & 07TH AVE,,,,,,,POINT (-122.465195 37.779037),5,5,8,4,11
17TH AVE,BALBOA,SE,NB,0,27492000,17TH AVE & BALBOA,,,,,,,POINT (-122.475876 37.776688),5,5,8,4,29
BALBOA,09TH AVE,SW,EB,,27281000,BALBOA ST & 09TH AVE,,,,,,,POINT (-122.46721 37.777084),5,5,8,4,11
05TH AVE,CABRILLO,SE,NB,,27240000,05TH AVE & CABRILLO,,,,,,,POINT (-122.46279 37.775414),5,5,8,4,11
09TH AVE,ANZA,SE,NB,0,27283000,09TH AVE & ANZA,,,,,,,POINT (-122.46734 37.778942),5,5,8,4,11
11TH AVE,CALIFORNIA,NW,SB,0,27610000,11TH AVE & CALIFORNIA ST,,,,,,,POINT (-122.469894 37.78457),5,5,8,4,11
CLEMENT,15TH AVE,,NB,,27489000,CLEMENT ST & 15TH AVE,,,,,,,POINT (-122.4741 37.782505),5,5,8,4,29
16TH AVE,BALBOA,NW,SB,0,27477000,16TH AVE & BALBOA,,,,,,,POINT (-122.47481 37.776737),5,5,8,4,29
CABRILLO,18TH AVE,NE,WB,0,27463000,CABRILLO ST & 18TH AVE,,,,I,,,POINT (-122.476814 37.774773),5,5,8,4,29
FUNSTON,ANZA,SE,NB,0,27300000,FUNSTON & ANZA,,,,,,,POINT (-122.47163 37.778748),5,5,8,4,11
04TH AVE,CLEMENT,NW,EB,0,27250000,04TH AVE & CLEMENT,,,,,,,POINT (-122.462265 37.783035),5,5,8,4,11
18TH AVE,ANZA,SE,NB,,27495000,18TH AVE & ANZA,,,,,,,POINT (-122.47709 37.7785),5,5,8,4,29
CLEMENT,10TH AVE,SW,EB,0,27303000,CLEMENT ST & 10TH AVE,,,,,,,POINT (-122.46869 37.782745),5,5,8,4,11
17TH AVE,BALBOA,NW,SB,0,27492000,17TH AVE & BALBOA,,,,,,,POINT (-122.475876 37.776688),5,5,8,4,29
11TH AVE,CLEMENT,NW,SB,0,27305000,11TH AVE & CLEMENT ST,,,,,,,POINT (-122.46976 37.782696),5,5,8,4,11
03RD AVE,CALIFORNIA,SE,NB,0,27583000,03RD AVE & CALIFORNIA,,,,,,,POINT (-122.46136 37.785397),5,5,8,4,11
ANZA,18TH AVE,SW,EB,0,27495000,ANZA ST & 18TH AVE,,,,,,,POINT (-122.47709 37.7785),5,5,8,4,29
18TH AVE,CABRILLO,SE,NB,0,27463000,18TH AVE & CABRILLO,,,,,,,POINT (-122.476814 37.774773),5,5,8,4,29
07TH AVE,CABRILLO,NW,SB,0,27273000,07TH AVE & CABRILLO,,,,,,,POINT (-122.46493 37.775314),5,5,8,4,11
ANZA,08TH AVE,NE,WB,0,27282000,ANZA ST & 08TH AVE,,,,,,,POINT (-122.46628 37.778988),5,5,8,4,11
ANZA,15TH AVE,SW,EB,,27478000,ANZA ST & 15TH AVE,,,,,,,POINT (-122.473816 37.77865),5,5,8,4,29
CLEMENT,17TH AVE,SW,EB,0,27502000,CLEMENT ST & 17TH AVE,,,,,,,POINT (-122.476295 37.782402),5,5,8,4,29
18TH AVE,CALIFORNIA,NW,SB,0,27632000,18TH AVE & CALIFORNIA,,,,,,,POINT (-122.47749 37.784218),5,5,8,4,29
10TH AVE,CLEMENT,NW,SB,0,27303000,10TH AVE & CLEMENT,,,,,,,POINT (-122.46869 37.782745),5,5,8,4,11
